THEME,STATUS,REF_PER_COLLECT,CCYY,MM,ITEM_P,STAT_VAR,STAT_PRES,STAT_VALUE
CLBM,f,A,2013,1,AGG,PRICE,Raw,64
CLBM,f,A,2013,1,BIT,PRICE,Raw,8770
CLBM,f,A,2013,1,CEMENT,PRICE,Raw,698
CLBM,f,A,2013,1,CONCRETE,PRICE,Raw,70
CLBM,f,A,2013,1,DIESEL_IND,PRICE,Raw,2058
CLBM,f,A,2013,1,DIESEL_RD,PRICE,Raw,1033
CLBM,f,A,2013,1,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,1,GMS_ANGLE,PRICE,Raw,11856
CLBM,f,A,2013,1,GMS_FLAT,PRICE,Raw,9914
CLBM,f,A,2013,1,GMS_PLATE,PRICE,Raw,8814
CLBM,f,A,2013,1,HARDW_SAWN,PRICE,Raw,5654
CLBM,f,A,2013,1,HOMOF_200,PRICE,Raw,154
CLBM,f,A,2013,1,MF_SP,PRICE,Raw,5964
CLBM,f,A,2013,1,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,1,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,1,MOSAIC_45,PRICE,Raw,122
CLBM,f,A,2013,1,PAINT_ACRY,PRICE,Raw,48
CLBM,f,A,2013,1,PAINT_EMUL,PRICE,Raw,51
CLBM,f,A,2013,1,SAND,PRICE,Raw,122
CLBM,f,A,2013,1,SR_HIGH,PRICE,Raw,5611
CLBM,f,A,2013,1,SR_ROUND,PRICE,Raw,6085
CLBM,f,A,2013,1,TF_PLY,PRICE,Raw,72
CLBM,f,A,2013,1,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,1,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,1,WALL_COLOR,PRICE,Raw,391
CLBM,f,A,2013,1,WALL_WHITE,PRICE,Raw,232
CLBM,f,A,2013,2,AGG,PRICE,Raw,64
CLBM,f,A,2013,2,BIT,PRICE,Raw,8770
CLBM,f,A,2013,2,CEMENT,PRICE,Raw,700
CLBM,f,A,2013,2,CONCRETE,PRICE,Raw,70
CLBM,f,A,2013,2,DIESEL_IND,PRICE,Raw,2088
CLBM,f,A,2013,2,DIESEL_RD,PRICE,Raw,1064
CLBM,f,A,2013,2,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,2,GMS_ANGLE,PRICE,Raw,11856
CLBM,f,A,2013,2,GMS_FLAT,PRICE,Raw,9914
CLBM,f,A,2013,2,GMS_PLATE,PRICE,Raw,8814
CLBM,f,A,2013,2,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,2,HOMOF_200,PRICE,Raw,157
CLBM,f,A,2013,2,MF_SP,PRICE,Raw,5969
CLBM,f,A,2013,2,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,2,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,2,MOSAIC_45,PRICE,Raw,122
CLBM,f,A,2013,2,PAINT_ACRY,PRICE,Raw,48
CLBM,f,A,2013,2,PAINT_EMUL,PRICE,Raw,51
CLBM,f,A,2013,2,SAND,PRICE,Raw,123
CLBM,f,A,2013,2,SR_HIGH,PRICE,Raw,5615
CLBM,f,A,2013,2,SR_ROUND,PRICE,Raw,6125
CLBM,f,A,2013,2,TF_PLY,PRICE,Raw,72
CLBM,f,A,2013,2,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,2,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,2,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,2,WALL_WHITE,PRICE,Raw,233
CLBM,f,A,2013,3,AGG,PRICE,Raw,65
CLBM,f,A,2013,3,BIT,PRICE,Raw,8770
CLBM,f,A,2013,3,CEMENT,PRICE,Raw,700
CLBM,f,A,2013,3,CONCRETE,PRICE,Raw,70
CLBM,f,A,2013,3,DIESEL_IND,PRICE,Raw,2096
CLBM,f,A,2013,3,DIESEL_RD,PRICE,Raw,1049
CLBM,f,A,2013,3,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,3,GMS_ANGLE,PRICE,Raw,11856
CLBM,f,A,2013,3,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,3,GMS_PLATE,PRICE,Raw,8814
CLBM,f,A,2013,3,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,3,HOMOF_200,PRICE,Raw,157
CLBM,f,A,2013,3,MF_SP,PRICE,Raw,5958
CLBM,f,A,2013,3,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,3,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,3,MOSAIC_45,PRICE,Raw,122
CLBM,f,A,2013,3,PAINT_ACRY,PRICE,Raw,48
CLBM,f,A,2013,3,PAINT_EMUL,PRICE,Raw,51
CLBM,f,A,2013,3,SAND,PRICE,Raw,120
CLBM,f,A,2013,3,SR_HIGH,PRICE,Raw,5580
CLBM,f,A,2013,3,SR_ROUND,PRICE,Raw,6095
CLBM,f,A,2013,3,TF_PLY,PRICE,Raw,73
CLBM,f,A,2013,3,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,3,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,3,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,3,WALL_WHITE,PRICE,Raw,233
CLBM,f,A,2013,4,AGG,PRICE,Raw,62
CLBM,f,A,2013,4,BIT,PRICE,Raw,8820
CLBM,f,A,2013,4,CEMENT,PRICE,Raw,700
CLBM,f,A,2013,4,CONCRETE,PRICE,Raw,70
CLBM,f,A,2013,4,DIESEL_IND,PRICE,Raw,2060
CLBM,f,A,2013,4,DIESEL_RD,PRICE,Raw,1015
CLBM,f,A,2013,4,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,4,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,4,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,4,GMS_PLATE,PRICE,Raw,8771
CLBM,f,A,2013,4,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,4,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,4,MF_SP,PRICE,Raw,5941
CLBM,f,A,2013,4,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,4,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,4,MOSAIC_45,PRICE,Raw,122
CLBM,f,A,2013,4,PAINT_ACRY,PRICE,Raw,48
CLBM,f,A,2013,4,PAINT_EMUL,PRICE,Raw,51
CLBM,f,A,2013,4,SAND,PRICE,Raw,120
CLBM,f,A,2013,4,SR_HIGH,PRICE,Raw,5343
CLBM,f,A,2013,4,SR_ROUND,PRICE,Raw,6015
CLBM,f,A,2013,4,TF_PLY,PRICE,Raw,74
CLBM,f,A,2013,4,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,4,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,4,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,4,WALL_WHITE,PRICE,Raw,233
CLBM,f,A,2013,5,AGG,PRICE,Raw,58
CLBM,f,A,2013,5,BIT,PRICE,Raw,8820
CLBM,f,A,2013,5,CEMENT,PRICE,Raw,700
CLBM,f,A,2013,5,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,5,DIESEL_IND,PRICE,Raw,2050
CLBM,f,A,2013,5,DIESEL_RD,PRICE,Raw,1011
CLBM,f,A,2013,5,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,5,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,5,GMS_FLAT,PRICE,Raw,10076
CLBM,f,A,2013,5,GMS_PLATE,PRICE,Raw,8780
CLBM,f,A,2013,5,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,5,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,5,MF_SP,PRICE,Raw,5919
CLBM,f,A,2013,5,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,5,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,5,MOSAIC_45,PRICE,Raw,122
CLBM,f,A,2013,5,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,5,PAINT_EMUL,PRICE,Raw,51
CLBM,f,A,2013,5,SAND,PRICE,Raw,120
CLBM,f,A,2013,5,SR_HIGH,PRICE,Raw,5226
CLBM,f,A,2013,5,SR_ROUND,PRICE,Raw,5958
CLBM,f,A,2013,5,TF_PLY,PRICE,Raw,74
CLBM,f,A,2013,5,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,5,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,5,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,5,WALL_WHITE,PRICE,Raw,233
CLBM,f,A,2013,6,AGG,PRICE,Raw,60
CLBM,f,A,2013,6,BIT,PRICE,Raw,8803
CLBM,f,A,2013,6,CEMENT,PRICE,Raw,700
CLBM,f,A,2013,6,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,6,DIESEL_IND,PRICE,Raw,2075
CLBM,f,A,2013,6,DIESEL_RD,PRICE,Raw,1030
CLBM,f,A,2013,6,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,6,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,6,GMS_FLAT,PRICE,Raw,10076
CLBM,f,A,2013,6,GMS_PLATE,PRICE,Raw,8773
CLBM,f,A,2013,6,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,6,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,6,MF_SP,PRICE,Raw,5848
CLBM,f,A,2013,6,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,6,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,6,MOSAIC_45,PRICE,Raw,122
CLBM,f,A,2013,6,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,6,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2013,6,SAND,PRICE,Raw,122
CLBM,f,A,2013,6,SR_HIGH,PRICE,Raw,5099
CLBM,f,A,2013,6,SR_ROUND,PRICE,Raw,5870
CLBM,f,A,2013,6,TF_PLY,PRICE,Raw,74
CLBM,f,A,2013,6,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,6,UPVC_32,PRICE,Raw,57
CLBM,f,A,2013,6,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,6,WALL_WHITE,PRICE,Raw,233
CLBM,f,A,2013,7,AGG,PRICE,Raw,58
CLBM,f,A,2013,7,BIT,PRICE,Raw,8770
CLBM,f,A,2013,7,CEMENT,PRICE,Raw,698
CLBM,f,A,2013,7,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,7,DIESEL_IND,PRICE,Raw,2092
CLBM,f,A,2013,7,DIESEL_RD,PRICE,Raw,1047
CLBM,f,A,2013,7,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,7,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,7,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,7,GMS_PLATE,PRICE,Raw,8783
CLBM,f,A,2013,7,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,7,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,7,MF_SP,PRICE,Raw,5817
CLBM,f,A,2013,7,MOSAIC_18,PRICE,Raw,104
CLBM,f,A,2013,7,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,7,MOSAIC_45,PRICE,Raw,129
CLBM,f,A,2013,7,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,7,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2013,7,SAND,PRICE,Raw,122
CLBM,f,A,2013,7,SR_HIGH,PRICE,Raw,5169
CLBM,f,A,2013,7,SR_ROUND,PRICE,Raw,5910
CLBM,f,A,2013,7,TF_PLY,PRICE,Raw,75
CLBM,f,A,2013,7,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,7,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,7,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,7,WALL_WHITE,PRICE,Raw,233
CLBM,f,A,2013,8,AGG,PRICE,Raw,60
CLBM,f,A,2013,8,BIT,PRICE,Raw,8717
CLBM,f,A,2013,8,CEMENT,PRICE,Raw,697
CLBM,f,A,2013,8,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,8,DIESEL_IND,PRICE,Raw,2106
CLBM,f,A,2013,8,DIESEL_RD,PRICE,Raw,1054
CLBM,f,A,2013,8,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,8,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,8,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,8,GMS_PLATE,PRICE,Raw,8783
CLBM,f,A,2013,8,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,8,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,8,MF_SP,PRICE,Raw,5800
CLBM,f,A,2013,8,MOSAIC_18,PRICE,Raw,109
CLBM,f,A,2013,8,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,8,MOSAIC_45,PRICE,Raw,129
CLBM,f,A,2013,8,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,8,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2013,8,SAND,PRICE,Raw,123
CLBM,f,A,2013,8,SR_HIGH,PRICE,Raw,5220
CLBM,f,A,2013,8,SR_ROUND,PRICE,Raw,5980
CLBM,f,A,2013,8,TF_PLY,PRICE,Raw,74
CLBM,f,A,2013,8,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,8,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,8,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,8,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2013,9,AGG,PRICE,Raw,56
CLBM,f,A,2013,9,BIT,PRICE,Raw,8690
CLBM,f,A,2013,9,CEMENT,PRICE,Raw,697
CLBM,f,A,2013,9,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,9,DIESEL_IND,PRICE,Raw,2111
CLBM,f,A,2013,9,DIESEL_RD,PRICE,Raw,1062
CLBM,f,A,2013,9,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,9,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,9,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,9,GMS_PLATE,PRICE,Raw,8783
CLBM,f,A,2013,9,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,9,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,9,MF_SP,PRICE,Raw,5800
CLBM,f,A,2013,9,MOSAIC_18,PRICE,Raw,109
CLBM,f,A,2013,9,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,9,MOSAIC_45,PRICE,Raw,129
CLBM,f,A,2013,9,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,9,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2013,9,SAND,PRICE,Raw,119
CLBM,f,A,2013,9,SR_HIGH,PRICE,Raw,5195
CLBM,f,A,2013,9,SR_ROUND,PRICE,Raw,5960
CLBM,f,A,2013,9,TF_PLY,PRICE,Raw,75
CLBM,f,A,2013,9,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,9,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,9,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,9,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2013,10,AGG,PRICE,Raw,58
CLBM,f,A,2013,10,BIT,PRICE,Raw,8690
CLBM,f,A,2013,10,CEMENT,PRICE,Raw,697
CLBM,f,A,2013,10,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,10,DIESEL_IND,PRICE,Raw,2103
CLBM,f,A,2013,10,DIESEL_RD,PRICE,Raw,1059
CLBM,f,A,2013,10,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,10,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,10,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,10,GMS_PLATE,PRICE,Raw,8783
CLBM,f,A,2013,10,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,10,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,10,MF_SP,PRICE,Raw,5800
CLBM,f,A,2013,10,MOSAIC_18,PRICE,Raw,109
CLBM,f,A,2013,10,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,10,MOSAIC_45,PRICE,Raw,129
CLBM,f,A,2013,10,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,10,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2013,10,SAND,PRICE,Raw,119
CLBM,f,A,2013,10,SR_HIGH,PRICE,Raw,5117
CLBM,f,A,2013,10,SR_ROUND,PRICE,Raw,5900
CLBM,f,A,2013,10,TF_PLY,PRICE,Raw,75
CLBM,f,A,2013,10,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,10,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,10,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,10,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2013,11,AGG,PRICE,Raw,58
CLBM,f,A,2013,11,BIT,PRICE,Raw,8663
CLBM,f,A,2013,11,CEMENT,PRICE,Raw,697
CLBM,f,A,2013,11,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,11,DIESEL_IND,PRICE,Raw,2125
CLBM,f,A,2013,11,DIESEL_RD,PRICE,Raw,1056
CLBM,f,A,2013,11,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,11,GMS_ANGLE,PRICE,Raw,11823
CLBM,f,A,2013,11,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,11,GMS_PLATE,PRICE,Raw,9541
CLBM,f,A,2013,11,HARDW_SAWN,PRICE,Raw,5502
CLBM,f,A,2013,11,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,11,MF_SP,PRICE,Raw,5787
CLBM,f,A,2013,11,MOSAIC_18,PRICE,Raw,109
CLBM,f,A,2013,11,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,11,MOSAIC_45,PRICE,Raw,129
CLBM,f,A,2013,11,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,11,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2013,11,SAND,PRICE,Raw,120
CLBM,f,A,2013,11,SR_HIGH,PRICE,Raw,5093
CLBM,f,A,2013,11,SR_ROUND,PRICE,Raw,5915
CLBM,f,A,2013,11,TF_PLY,PRICE,Raw,75
CLBM,f,A,2013,11,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,11,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,11,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,11,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2013,12,AGG,PRICE,Raw,60
CLBM,f,A,2013,12,BIT,PRICE,Raw,8610
CLBM,f,A,2013,12,CEMENT,PRICE,Raw,698
CLBM,f,A,2013,12,CONCRETE,PRICE,Raw,72
CLBM,f,A,2013,12,DIESEL_IND,PRICE,Raw,2140
CLBM,f,A,2013,12,DIESEL_RD,PRICE,Raw,1072
CLBM,f,A,2013,12,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2013,12,GMS_ANGLE,PRICE,Raw,11806
CLBM,f,A,2013,12,GMS_FLAT,PRICE,Raw,10131
CLBM,f,A,2013,12,GMS_PLATE,PRICE,Raw,9541
CLBM,f,A,2013,12,HARDW_SAWN,PRICE,Raw,5519
CLBM,f,A,2013,12,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2013,12,MF_SP,PRICE,Raw,5794
CLBM,f,A,2013,12,MOSAIC_18,PRICE,Raw,109
CLBM,f,A,2013,12,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2013,12,MOSAIC_45,PRICE,Raw,129
CLBM,f,A,2013,12,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2013,12,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2013,12,SAND,PRICE,Raw,120
CLBM,f,A,2013,12,SR_HIGH,PRICE,Raw,5118
CLBM,f,A,2013,12,SR_ROUND,PRICE,Raw,5945
CLBM,f,A,2013,12,TF_PLY,PRICE,Raw,75
CLBM,f,A,2013,12,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2013,12,UPVC_32,PRICE,Raw,56
CLBM,f,A,2013,12,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2013,12,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2014,1,AGG,PRICE,Raw,63
CLBM,f,A,2014,1,BIT,PRICE,Raw,8610
CLBM,f,A,2014,1,CEMENT,PRICE,Raw,713
CLBM,f,A,2014,1,CONCRETE,PRICE,Raw,76
CLBM,f,A,2014,1,DIESEL_IND,PRICE,Raw,2131
CLBM,f,A,2014,1,DIESEL_RD,PRICE,Raw,1065
CLBM,f,A,2014,1,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2014,1,GMS_ANGLE,PRICE,Raw,12101
CLBM,f,A,2014,1,GMS_FLAT,PRICE,Raw,10158
CLBM,f,A,2014,1,GMS_PLATE,PRICE,Raw,9531
CLBM,f,A,2014,1,HARDW_SAWN,PRICE,Raw,5519
CLBM,f,A,2014,1,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2014,1,MF_SP,PRICE,Raw,5753
CLBM,f,A,2014,1,MOSAIC_18,PRICE,Raw,109
CLBM,f,A,2014,1,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2014,1,MOSAIC_45,PRICE,Raw,130
CLBM,f,A,2014,1,PAINT_ACRY,PRICE,Raw,49
CLBM,f,A,2014,1,PAINT_EMUL,PRICE,Raw,52
CLBM,f,A,2014,1,SAND,PRICE,Raw,120
CLBM,f,A,2014,1,SR_HIGH,PRICE,Raw,5101
CLBM,f,A,2014,1,SR_ROUND,PRICE,Raw,5910
CLBM,f,A,2014,1,TF_PLY,PRICE,Raw,75
CLBM,f,A,2014,1,TF_SAWN,PRICE,Raw,3814
CLBM,f,A,2014,1,UPVC_32,PRICE,Raw,56
CLBM,f,A,2014,1,WALL_COLOR,PRICE,Raw,398
CLBM,f,A,2014,1,WALL_WHITE,PRICE,Raw,243
CLBM,f,A,2014,2,AGG,PRICE,Raw,62
CLBM,f,A,2014,2,BIT,PRICE,Raw,8530
CLBM,f,A,2014,2,CEMENT,PRICE,Raw,714
CLBM,f,A,2014,2,CONCRETE,PRICE,Raw,77
CLBM,f,A,2014,2,DIESEL_IND,PRICE,Raw,2126
CLBM,f,A,2014,2,DIESEL_RD,PRICE,Raw,1065
CLBM,f,A,2014,2,GLASS_SH,PRICE,Raw,151
CLBM,f,A,2014,2,GMS_ANGLE,PRICE,Raw,12051
CLBM,f,A,2014,2,GMS_FLAT,PRICE,Raw,10209
CLBM,f,A,2014,2,GMS_PLATE,PRICE,Raw,9511
CLBM,f,A,2014,2,HARDW_SAWN,PRICE,Raw,5519
CLBM,f,A,2014,2,HOMOF_200,PRICE,Raw,158
CLBM,f,A,2014,2,MF_SP,PRICE,Raw,5742
CLBM,f,A,2014,2,MOSAIC_18,PRICE,Raw,114
CLBM,f,A,2014,2,MOSAIC_25,PRICE,Raw,50
CLBM,f,A,2014,2,MOSAIC_45,PRICE,Raw,130
CLBM,f,A,2014,2,PAINT_ACRY,PRICE,Raw,49
